occasion,relationship,gender,ageType,ageGroup,knownDuration,kidDislikes,kidToyTypes,personality,experiencePreference,handmadePreference,budgetFlexibility,stylePreference,surpriseReaction,connectionImportance,noteImportance,handmadeOverStore,sharedMemoriesAppreciation,relationshipCloseness,uniqueGiftValue,practicalOverSentimental,budget,gift_type
Other,Spouse,Female,Adult,20–25,1–3 year,Unknown,Unknown,3,1,1,1,5,1,5,5,1,5,5,5,3,1000–2000 PKR,Edible Stuff
Other,Spouse,Female,Adult,20–25,1–3 year,Unknown,Unknown,3,1,1,1,5,1,5,5,1,5,5,5,3,5000–8000 PKR,Clothing
Other,Spouse,Female,Adult,20–25,1–3 year,Unknown,Unknown,3,1,1,1,5,1,5,5,1,5,5,5,3,4000–5000 PKR,Jewellery
Other,Spouse,Female,Adult,20–25,1–3 year,Unknown,Unknown,3,1,1,1,5,1,5,5,1,5,5,5,3,4000–5000 PKR,Makeup Products
Thank you gift,Colleague/Professional,Male,Adult,25–35,3–5 year,Unknown,Unknown,3,1,1,1,5,1,5,5,1,5,5,5,3,"8000–10,000 PKR",Wallet
Birthday,"Close Family(Parent, Sibling, Child)",Male,Adult,20–25,5+ year,Unknown,Unknown,3,3,3,3,3,3,3,3,3,3,3,3,3,More than 5000 PKR,Jewellery
Birthday,Friend,Male,Adult,20–25,5+ year,Unknown,Unknown,3,3,3,3,3,3,3,3,3,3,3,3,3,"8000–10,000 PKR",Wallet
Holiday,"Extended Family (Aunt, Uncle, Cousin)",Male,Adult,25–35,Less than a year,Unknown,Unknown,3,3,3,3,3,3,3,3,3,3,3,3,3,5000–8000 PKR,Clothing
Birthday,"Close Family(Parent, Sibling, Child)",Male,Adult,25–35,5+ year,Unknown,Unknown,3,2,3,4,4,2,3,4,2,2,4,4,2,"10,000–15,000 PKR",Clothing
Birthday,"Close Family(Parent, Sibling, Child)",Male,Adult,25–35,5+ year,Unknown,Unknown,3,2,3,4,4,2,3,4,2,2,4,4,2,"10,000–12,000 PKR",Perfume
Birthday,"Close Family(Parent, Sibling, Child)",Male,Adult,25–35,5+ year,Unknown,Unknown,3,2,3,4,4,2,3,4,2,2,4,4,2,"8000–10,000 PKR",Wallet
Thank you gift,"Close Family(Parent, Sibling, Child)",Female,Adult,25–35,5+ year,Unknown,Unknown,3,2,3,4,4,2,3,4,2,2,4,4,2,3000–4000 PKR,Edible Stuff
Anniversary,"Extended Family (Aunt, Uncle, Cousin)",Female,Adult,More than 35 years,3–5 year,Unknown,Unknown,3,2,3,4,4,2,3,4,2,2,4,4,2,4000–5000 PKR,Jewellery
Other,Colleague/Professional,Female,Adult,20–25,3–5 year,Unknown,Unknown,3,3,3,3,3,3,3,3,3,3,3,3,3,5000–6000 PKR,Edible Stuff
Birthday,"Close Family(Parent, Sibling, Child)",Female,Adult,20–25,5+ year,Unknown,Unknown,3,4,3,3,3,3,3,3,3,3,3,3,3,1000–2000 PKR,Edible Stuff
Holiday,"Extended Family (Aunt, Uncle, Cousin)",Male,Adult,20–25,5+ year,Unknown,Unknown,5,3,1,1,5,1,4,5,2,3,1,3,1,5000–8000 PKR,Clothing
Holiday,"Extended Family (Aunt, Uncle, Cousin)",Male,Adult,20–25,5+ year,Unknown,Unknown,5,3,1,1,5,1,4,5,2,3,1,3,1,5000 PKR,Perfume
Birthday,"Extended Family (Aunt, Uncle, Cousin)",Female,Adult,16–20,5+ year,Unknown,Unknown,5,3,1,1,5,1,4,5,2,3,1,3,1,3000–4000 PKR,Jewellery
Birthday,"Extended Family (Aunt, Uncle, Cousin)",Female,Adult,16–20,5+ year,Unknown,Unknown,5,3,1,1,5,1,4,5,2,3,1,3,1,1000–3000 PKR,Makeup Products
