gender,age_group,age_type,relationship,occasion,gift_type,price,color,product_style,gift_item_style,container_type,size,scent,personality_score
male,20–25,adult,"close family(parent, sibling, child)",birthday,clothing,5000–8000 PKR,White,Waistcoats,Handmade & Crafted,basket with ribbon,M,,3.8461538461538463
male,25–35,adult,friend,thank you gift,wallet,3000–5000 PKR,Camel brown,Card wallets,Quirky & Unique,basket with ribbon,,,3.8461538461538463
male,20–25,adult,other,graduation,wallet,3000–5000 PKR,Camel brown,Card wallets,Handmade & Crafted,basket with ribbon,,,3.8461538461538463
male,20–25,adult,"extended family (aunt, uncle, cousin)",get well soon,jewellery,1000–2000 PKR,Gold,Bracelet,Handmade & Crafted,basket with ribbon,,,3.8461538461538463
male,20–25,adult,"close family(parent, sibling, child)",holiday,edible stuff,1000 PKR,,,Handmade & Crafted,basket with ribbon,,,3.8461538461538463
female,25–35,adult,friend,birthday,clothing,5000–8000 PKR,Green,,"Funny & Lighthearted, Quirky & Unique",basket with ribbon,,,3.4615384615384617
male,16–20,adult,"close family(parent, sibling, child)",birthday,edible stuff,4000–5000 PKR,,,,basket with ribbon,,,3.0
female,20–25,adult,"close family(parent, sibling, child)",birthday,edible stuff,1000 PKR,,,Quirky & Unique,basket with net,,,3.6923076923076925
male,16–20,adult,other,thank you gift,perfume,5000 PKR,,,Handmade & Crafted,basket with net,,Sweet,3.6923076923076925
female,20–25,adult,spouse,other,edible stuff,1000 PKR,,,Funny & Lighthearted,basket with net,,,3.6923076923076925
female,9–12,kid,"close family(parent, sibling, child)",birthday,toys,3500 PKR,,,,basket with net,,,3.6923076923076925
male,20–25,adult,"close family(parent, sibling, child)",birthday,perfume,"12,000–15,000 PKR",,,Quirky & Unique,basket with net,,Sweet,3.0
male,16–20,adult,"close family(parent, sibling, child)",anniversary,perfume,5000 PKR,,,Handmade & Crafted,acrylic box,,Floral,3.0
male,20–25,adult,friend,birthday,wallet,6000–8000 PKR,Black,Bifold wallets,Quirky & Unique,acrylic box,,,4.6923076923076925
male,20–25,adult,other,other,wallet,3000–5000 PKR,Camel brown,Card wallets,Funny & Lighthearted,simple box,,,3.0
male,20–25,adult,friend,holiday,perfume,5000–7000 PKR,,,"Handmade & Crafted, Quirky & Unique",basket with ribbon,,Floral,3.4615384615384617
male,25–35,adult,"close family(parent, sibling, child)",birthday,perfume,"7000–10,000 PKR",,,Quirky & Unique,basket with ribbon,,Floral,3.1538461538461537
female,12–15,kid,"extended family (aunt, uncle, cousin)",birthday,toys,5500 – 7500 PKR,,,,basket with ribbon,,,3.1538461538461537
male,More than 35 years,adult,colleague/professional,birthday,jewellery,More than 5000 PKR,Gold,Chain,Quirky & Unique,basket with ribbon,,,3.1538461538461537
female,20–25,adult,"extended family (aunt, uncle, cousin)",birthday,perfume,"7000–10,000 PKR",,,Quirky & Unique,basket with ribbon,,Spicy,3.1538461538461537
female,16–20,adult,"close family(parent, sibling, child)",anniversary,makeup products,"10,000–15,000 PKR",,,Funny & Lighthearted,basket with ribbon,,,3.1538461538461537
female,25–35,adult,friend,get well soon,bag/wallet,"5000–10,000 PKR",Green,Clutch,Handmade & Crafted,basket with ribbon,,,3.1538461538461537
female,20–25,adult,colleague/professional,holiday,perfume,5000–7000 PKR,,,Quirky & Unique,basket with ribbon,,Spicy,3.1538461538461537
male,25–35,adult,friend,wedding/engagement gift,jewellery,4000–5000 PKR,Silver,Wrist bands,Handmade & Crafted,basket with ribbon,,,3.1538461538461537
female,20–25,adult,other,thank you gift,edible stuff,5000–6000 PKR,,,Funny & Lighthearted,basket with ribbon,,,3.1538461538461537
female,16–20,adult,"close family(parent, sibling, child)",birthday,perfume,"12,000–15,000 PKR",,,Funny & Lighthearted,basket with ribbon,,Floral,3.1538461538461537
female,20–25,adult,"close family(parent, sibling, child)",thank you gift,bag/wallet,"5000–10,000 PKR",Red,Clutch,Handmade & Crafted,basket with ribbon,,,3.076923076923077
male,20–25,adult,friend,graduation,edible stuff,3000–4000 PKR,,,,basket with net,,,3.0
male,20–25,adult,friend,birthday,wallet,3000–5000 PKR,Camel brown,Trifold wallets,Funny & Lighthearted,simple box,,,3.6153846153846154
female,20–25,adult,friend,anniversary,perfume,5000 PKR,,,Quirky & Unique,simple box,,Floral,3.6153846153846154
female,25–35,adult,"close family(parent, sibling, child)",birthday,shoes,5000 PKR,Black,Formal shoes,Quirky & Unique,basket with net,38,,3.0
female,16–20,adult,"close family(parent, sibling, child)",birthday,clothing,"15,000–20,000 PKR",Black,Shalwar,Quirky & Unique,basket with ribbon,L,,3.0
female,25–35,adult,friend,other,jewellery,More than 5000 PKR,Silver,Earrings,"Funny & Lighthearted, Handmade & Crafted, Quirky & Unique",basket with net,,,3.0
male,20–25,adult,friend,wedding/engagement gift,perfume,5000–7000 PKR,,,"Funny & Lighthearted, Handmade & Crafted",basket with ribbon,,Sweet,3.1538461538461537
female,More than 35 years,adult,"extended family (aunt, uncle, cousin)",thank you gift,bag/wallet,"10,000–15,000 PKR",Black,Handbags,Quirky & Unique,basket with ribbon,,,3.1538461538461537
male,25–35,adult,spouse,thank you gift,shoes,"10,000–15,000 PKR",Black,Formal shoes,Handmade & Crafted,simple box,40,,3.6923076923076925
female,25–35,adult,colleague/professional,get well soon,jewellery,3000–4000 PKR,Gold,Pendant,Handmade & Crafted,acrylic box,,,3.8461538461538463
female,16–20,adult,friend,birthday,clothing,5000–8000 PKR,Pink,Gown,Funny & Lighthearted,basket with net,XS,,3.8461538461538463
male,20–25,adult,other,other,perfume,"12,000–15,000 PKR",,,Funny & Lighthearted,basket with ribbon,,Sweet,3.0
male,20–25,adult,friend,thank you gift,wallet,3000–5000 PKR,Black,Formal bag,Funny & Lighthearted,basket with ribbon,,,3.3846153846153846
male,20–25,adult,friend,thank you gift,wallet,6000–8000 PKR,Black,Travelling wallets,Handmade & Crafted,basket with ribbon,,,3.3846153846153846
female,20–25,adult,colleague/professional,birthday,jewellery,1000–2000 PKR,Gold,Chokr,Quirky & Unique,basket with ribbon,,,3.8461538461538463
female,20–25,adult,spouse,birthday,jewellery,More than 5000 PKR,Gold,Necklace,Handmade & Crafted,acrylic box,,,4.3076923076923075
female,20–25,adult,friend,graduation,perfume,"10,000–12,000 PKR",,,"Handmade & Crafted, Quirky & Unique",basket with net,,Floral,3.6153846153846154
female,20–25,adult,friend,graduation,edible stuff,4000–5000 PKR,,,Handmade & Crafted,basket with net,,,3.6923076923076925
female,20–25,adult,friend,graduation,perfume,"7000–10,000 PKR",,,Handmade & Crafted,basket with net,,Spicy,3.6923076923076925
female,20–25,adult,friend,graduation,shoes,"10,000–15,000 PKR",Blue,Formal shoes,Handmade & Crafted,basket with net,39,,3.6923076923076925
female,20–25,adult,friend,graduation,jewellery,4000–5000 PKR,Gold,Rings,Handmade & Crafted,basket with net,,,3.6923076923076925
female,20–25,adult,friend,graduation,makeup products,7000–8000 PKR,,,Handmade & Crafted,basket with net,,,3.6923076923076925
male,More than 35 years,adult,"close family(parent, sibling, child)",birthday,jewellery,4000–5000 PKR,Silver,Wrist bands,Funny & Lighthearted,acrylic box,,,2.4615384615384617
female,20–25,adult,"close family(parent, sibling, child)",birthday,jewellery,2000–3000 PKR,Gold,Bracelet,Quirky & Unique,acrylic box,,,4.615384615384615
female,20–25,adult,"close family(parent, sibling, child)",birthday,perfume,5000 PKR,,,Handmade & Crafted,acrylic box,,Floral,4.615384615384615
male,25–35,adult,"close family(parent, sibling, child)",birthday,clothing,5000 PKR,Red,,Funny & Lighthearted,simple box,,,3.0
female,20–25,adult,friend,birthday,jewellery,1000–2000 PKR,Gold,Necklace,"Funny & Lighthearted, Handmade & Crafted, Quirky & Unique",acrylic box,,,5.0
female,25–35,adult,"close family(parent, sibling, child)",birthday,clothing,5000–8000 PKR,Maroon,,Handmade & Crafted,basket with ribbon,,,3.4615384615384617
female,16–20,adult,spouse,wedding/engagement gift,makeup products,"10,000–15,000 PKR",,,Quirky & Unique,simple box,,,1.9230769230769231
male,20–25,adult,friend,graduation,shoes,"5000–10,000 PKR",Light brown,Loafers,Quirky & Unique,acrylic box,41,,3.0
male,20–25,adult,friend,graduation,jewellery,3000–4000 PKR,Silver,Rings,Quirky & Unique,acrylic box,,,3.0
female,20–25,adult,friend,thank you gift,perfume,"7000–10,000 PKR",,,Handmade & Crafted,acrylic box,,Floral,3.0
female,20–25,adult,friend,thank you gift,perfume,"7000–10,000 PKR",,,Handmade & Crafted,acrylic box,,Floral,3.0
female,20–25,adult,friend,thank you gift,perfume,5000–7000 PKR,,,Handmade & Crafted,acrylic box,,Sweet,3.0
female,20–25,adult,friend,thank you gift,perfume,5000–7000 PKR,,,Handmade & Crafted,acrylic box,,Floral,3.0
female,16–20,adult,spouse,birthday,shoes,5000 PKR,Black,Formal shoes,Handmade & Crafted,basket with net,40,,2.8461538461538463
female,20–25,adult,"close family(parent, sibling, child)",birthday,makeup products,5000–6000 PKR,,,"Funny & Lighthearted, Handmade & Crafted",simple box,,,3.4615384615384617
female,6–9,kid,"extended family (aunt, uncle, cousin)",birthday,perfume,1500–2000 PKR,,,,acrylic box,,Floral,3.1538461538461537
female,More than 35 years,adult,"close family(parent, sibling, child)",birthday,bag/wallet,"20,000–25,000 PKR",Black,Handbags,Quirky & Unique,acrylic box,,,3.1538461538461537
male,20–25,adult,friend,birthday,perfume,5000 PKR,,,Handmade & Crafted,acrylic box,,Spicy,3.4615384615384617
female,20–25,adult,friend,anniversary,edible stuff,4000–5000 PKR,,,Handmade & Crafted,acrylic box,,,3.0
female,25–35,adult,"extended family (aunt, uncle, cousin)",anniversary,clothing,"10,000–15,000 PKR","Pink,Yellow,Black,White,Grey",,Quirky & Unique,simple box,,,3.923076923076923
female,25–35,adult,"extended family (aunt, uncle, cousin)",anniversary,perfume,"10,000–12,000 PKR",,,Quirky & Unique,simple box,,Floral,3.923076923076923
female,25–35,adult,"extended family (aunt, uncle, cousin)",anniversary,bag/wallet,"5000–10,000 PKR",Black,Handbags,Quirky & Unique,simple box,,,3.923076923076923
female,25–35,adult,"extended family (aunt, uncle, cousin)",anniversary,makeup products,"10,000–15,000 PKR",,,"Funny & Lighthearted, Quirky & Unique",simple box,,,3.923076923076923
female,25–35,adult,"extended family (aunt, uncle, cousin)",anniversary,jewellery,More than 5000 PKR,Gold,Rings,Quirky & Unique,simple box,,,3.923076923076923
female,25–35,adult,"extended family (aunt, uncle, cousin)",anniversary,shoes,"10,000–15,000 PKR",Black,Heels,,simple box,41,,3.923076923076923
female,25–35,adult,"extended family (aunt, uncle, cousin)",anniversary,makeup products,"10,000–15,000 PKR",,,Quirky & Unique,simple box,,,3.923076923076923
female,25–35,adult,"extended family (aunt, uncle, cousin)",anniversary,makeup products,"10,000–15,000 PKR",,,Quirky & Unique,simple box,,,3.923076923076923
female,25–35,adult,"extended family (aunt, uncle, cousin)",anniversary,makeup products,"10,000–15,000 PKR",,,Quirky & Unique,simple box,,,3.923076923076923
female,25–35,adult,"extended family (aunt, uncle, cousin)",anniversary,makeup products,"10,000–15,000 PKR",,,Quirky & Unique,simple box,,,3.923076923076923
male,20–25,adult,friend,birthday,perfume,5000 PKR,,,"Funny & Lighthearted, Handmade & Crafted, Quirky & Unique",basket with net,,Spicy,3.0
male,20–25,adult,friend,birthday,clothing,"8000–10,000 PKR","Green,Black,Blue,Yellow,White",Shalwar kameez,"Handmade & Crafted, Quirky & Unique",basket with net,M,,3.0
male,20–25,adult,"extended family (aunt, uncle, cousin)",birthday,shoes,5000 PKR,Light brown,Sandals,Handmade & Crafted,basket with net,41,,3.0
female,20–25,adult,friend,anniversary,perfume,5000–7000 PKR,,,Quirky & Unique,basket with net,,Floral,3.0
male,25–35,adult,"extended family (aunt, uncle, cousin)",holiday,edible stuff,1000–2000 PKR,,,Handmade & Crafted,basket with net,,,3.0
male,More than 35 years,adult,colleague/professional,other,edible stuff,5000–6000 PKR,,,Handmade & Crafted,simple box,,,3.0
female,20–25,adult,other,birthday,perfume,"7000–10,000 PKR",,,Handmade & Crafted,basket with ribbon,,Floral,4.384615384615385
female,20–25,adult,other,birthday,bag/wallet,"5000–10,000 PKR",Black,Handbags,Handmade & Crafted,basket with ribbon,,,4.384615384615385
female,16–20,adult,spouse,anniversary,bag/wallet,"10,000–15,000 PKR",Black,Tote bags,Handmade & Crafted,basket with ribbon,,,3.0
female,20–25,adult,"close family(parent, sibling, child)",birthday,jewellery,More than 5000 PKR,Gold,Necklace,Handmade & Crafted,basket with ribbon,,,3.6153846153846154
female,25–35,adult,friend,birthday,perfume,5000–7000 PKR,,,Quirky & Unique,basket with ribbon,,Floral,3.6153846153846154
female,20–25,adult,friend,birthday,jewellery,3000–4000 PKR,Gold,Chokr,Funny & Lighthearted,basket with ribbon,,,3.6153846153846154
female,20–25,adult,colleague/professional,anniversary,makeup products,5000–6000 PKR,,,Handmade & Crafted,acrylic box,,,3.0
male,20–25,adult,friend,birthday,edible stuff,3000–4000 PKR,,,Quirky & Unique,basket with ribbon,,,4.846153846153846
male,20–25,adult,friend,birthday,clothing,5000 PKR,Black,Waistcoats,Quirky & Unique,basket with ribbon,M,,4.846153846153846
male,20–25,adult,friend,birthday,shoes,"5000–10,000 PKR",Black,Formal shoes,Handmade & Crafted,basket with ribbon,42,,4.846153846153846
male,20–25,adult,friend,birthday,perfume,"12,000–15,000 PKR",,,Handmade & Crafted,basket with net,,Floral,3.0
female,25–35,adult,friend,other,edible stuff,6000–7000 PKR,,,"Funny & Lighthearted, Handmade & Crafted",basket with ribbon,,,3.1538461538461537
female,25–35,adult,friend,other,clothing,5000–8000 PKR,Yellow,,"Handmade & Crafted, Quirky & Unique",basket with ribbon,,Spicy,3.1538461538461537
female,16–20,adult,friend,thank you gift,jewellery,4000–5000 PKR,Silver,Chokr,Handmade & Crafted,basket with ribbon,,,3.1538461538461537
female,25–35,adult,colleague/professional,thank you gift,jewellery,4000–5000 PKR,Silver,Necklace,Funny & Lighthearted,simple box,,,3.1538461538461537
male,More than 35 years,adult,"extended family (aunt, uncle, cousin)",get well soon,perfume,5000 PKR,,,Quirky & Unique,acrylic box,,Floral,3.1538461538461537
male,20–25,adult,spouse,anniversary,clothing,"8000–10,000 PKR",Black,Shalwar kameez,Handmade & Crafted,basket with ribbon,S,,4.461538461538462
